gid,"carrier","slug","address"
1,"3 River Wireless",NULL,"sms.3rivers.net"
2,"7-11 Speakout (USA GSM)",NULL,"number@cingularme.com"
3,"ACS Wireless",NULL,"paging.acswireless.com"
4,"Advantage Communications",NULL,"advantagepaging.com"
5,"Airtel (Karnataka, India)",NULL,"number@airtelkk.com"
6,"Airtel Wireless (Montana, USA)",NULL,"number@sms.airtelmontana.com"
7,"Airtouch Pagers",NULL,"airtouch.net"
8,"Airtouch Pagers",NULL,"airtouchpaging.com"
9,"Airtouch Pagers",NULL,"alphapage.airtouch.com"
10,"Airtouch Pagers",NULL,"myairmail.com"
11,"Alaska Communications Systems",NULL,"number@msg.acsalaska.com"
12,"Alltel",NULL,"message.alltel.com"
13,"Alltel PCS",NULL,"message.alltel.com"
14,"AlphaNow",NULL,"alphanow.net"
15,"AlphNow",NULL,"pin@alphanow.net"
16,"American Messaging",NULL,"page.americanmessaging.net"
17,"American Messaging (SBC/Ameritech)",NULL,"page.americanmessaging.net"
18,"Ameritech Clearpath",NULL,"clearpath.acswireless.com"
19,"Ameritech Paging",NULL,"paging.acswireless.com"
20,"Ameritech Paging (see also American Messaging)",NULL,"pageapi.com"
21,"Ameritech Paging (see also American Messaging)",NULL,"paging.acswireless.com"
22,"Andhra Pradesh Airtel",NULL,"airtelap.com"
23,"Aql",NULL,"number@text.aql.com"
24,"Arch Pagers (PageNet)",NULL,"archwireless.net"
25,"Arch Pagers (PageNet)",NULL,"epage.arch.com"
26,"AT&T",NULL,"mobile.att.net"
27,"AT&T","att","txt.att.net"
28,"AT&T Enterprise Paging",NULL,"number@page.att.net"
29,"AT&T Free2Go",NULL,"mmode.com"
30,"AT&T PCS",NULL,"mobile.att.net"
31,"AT&T Pocketnet PCS",NULL,"dpcs.mobile.att.net"
32,"BeeLine GSM",NULL,"sms.beemail.ru"
33,"Beepwear",NULL,"beepwear.net"
34,"Bell Atlantic",NULL,"message.bam.com"
35,"Bell Canada",NULL,"bellmobility.ca"
36,"Bell Canada",NULL,"txt.bellmobility.ca"
37,"Bell Mobility",NULL,"txt.bellmobility.ca"
38,"Bell Mobility & Solo Mobile (Canada)",NULL,"number@txt.bell.ca"
39,"Bell Mobility (Canada)",NULL,"txt.bell.ca"
40,"Bell South",NULL,"bellsouth.cl"
41,"Bell South",NULL,"blsdcs.net"
42,"Bell South",NULL,"sms.bellsouth.com"
43,"Bell South",NULL,"wireless.bellsouth.com"
44,"Bell South (Blackberry)",NULL,"bellsouthtips.com"
45,"Bell South Mobility",NULL,"blsdcs.net"
46,"BigRedGiant Mobile Solutions",NULL,"number@tachyonsms.co.uk"
47,"Blue Sky Frog",NULL,"blueskyfrog.com"
48,"Bluegrass Cellular",NULL,"sms.bluecell.com"
49,"Boost",NULL,"myboostmobile.com"
50,"Boost Mobile",NULL,"myboostmobile.com"
